generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture
1,1000,30,97,48,241,117.678,291.73,481,24.641,0.9668,0.0493
2,2000,30,270,238,330,122.474,436.6,904,45.901,0.9266,0.3311
