seed,variant,peak_fitness,lifespan,tiles,eat,seeds,final_fitness,ticks_s
1,baseline,74.47,721.8,64.0,2225.0,1818.0,51.69,5.1
1,naive,52.35,620.5,70.5,925.0,1015.0,40.769,3.24
1,scheduled,77.9,701.6,85.1,2372.0,2532.0,46.188,4.35
2,baseline,41.11,415.2,42.9,1805.0,1394.0,41.297,5.23
2,naive,73.34,713.1,64.4,2047.0,1260.0,52.922,3.36
2,scheduled,55.14,645.9,58.8,1168.0,803.0,51.2,4.17
