generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,121,229,239,112.482,283.73,709,21.838,0.9784,0.1479,
2,2000,30,627,344,263,119.755,424.43,804,53.693,0.9608,0.612,
3,3000,30,752,560,775,167.47,456.57,996,83.958,0.914,0.3417,
4,4000,30,300,465,458,159.062,459.93,995,83.656,0.9103,0.2212,
5,5000,30,523,469,547,172.934,459.73,994,103.936,0.89,0.5683,
