generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,449,354,509,87.78,300.7,484,25.4,0.9217,0.1802,
2,2000,30,739,468,717,106.567,301.0,642,24.813,0.8849,0.5203,
3,3000,30,649,541,1094,96.172,442.93,804,35.772,0.8363,0.5675,
4,4000,30,589,491,1119,105.474,430.0,850,36.749,0.8347,0.1187,
5,5000,30,605,417,742,107.009,427.53,984,35.343,0.8613,0.1957,
