generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,502,418,637,136.876,349.4,767,67.71,0.9622,0.1618,
2,2000,29,1019,753,1158,186.049,427.86,859,124.57,0.9178,0.3327,
3,3000,30,233,418,398,172.439,469.5,999,120.379,0.9383,0.4396,
4,4000,30,745,590,687,183.331,479.5,998,140.945,0.9231,0.3826,
5,5000,30,246,160,438,166.451,426.57,925,115.363,0.9387,0.0657,
