generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,358,383,548,108.376,357.73,721,25.162,0.911,0.7356,
2,2000,30,613,480,766,155.118,427.37,971,48.702,0.8613,0.8373,
3,3000,30,606,529,992,163.291,426.37,970,42.969,0.8198,0.5663,
4,4000,30,571,526,959,170.453,425.37,969,53.493,0.8267,0.4612,
5,5000,30,380,510,800,165.012,424.37,968,44.316,0.8362,0.3372,
