generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,551,401,423,105.121,262.83,570,18.985,0.9637,0.6239,
2,2000,30,868,705,1096,88.587,321.3,570,21.95,0.9107,0.7364,
3,3000,30,1026,814,1393,97.877,279.03,586,19.824,0.8775,0.6293,
4,4000,30,1004,723,1404,98.777,259.4,524,17.707,0.8705,0.1435,
5,5000,30,784,558,902,92.51,284.47,570,20.498,0.9144,0.2141,
