generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,348,324,355,99.018,421.77,716,45.491,0.9345,0.5554,
2,2000,30,392,191,619,126.064,527.13,983,60.918,0.9047,0.1043,
3,3000,30,580,385,633,162.151,551.83,982,63.838,0.8605,0.0682,
4,4000,30,530,376,540,142.493,536.77,981,48.164,0.8687,0.7875,
5,5000,30,524,433,726,161.912,568.93,992,59.808,0.8219,0.29,
