generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,364,368,525,130.609,376.23,676,47.99,0.9189,0.8866,
2,2000,30,649,481,787,162.179,429.53,826,71.075,0.8662,0.638,
3,3000,30,611,511,963,167.234,440.3,825,61.947,0.8479,0.2755,
4,4000,30,579,517,925,171.88,444.73,836,69.571,0.8417,0.526,
5,5000,30,575,541,1006,183.329,435.7,835,67.385,0.8286,0.763,
