generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,178,85,428,89.596,299.3,586,22.026,0.9786,0.0629,
2,2000,30,166,154,200,101.827,287.7,578,11.032,0.9805,0.4961,
3,3000,30,403,244,402,109.212,307.3,638,7.123,0.9603,0.0847,
4,4000,30,480,369,585,102.891,361.4,857,23.754,0.9387,0.5971,
5,5000,30,599,460,624,100.49,467.67,979,36.531,0.9161,0.583,
