generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,224,161,435,107.076,255.1,508,25.329,0.9463,0.0798,
2,2000,30,507,382,579,126.378,363.53,656,35.91,0.9021,0.4694,
3,3000,30,482,251,803,132.695,412.8,815,53.081,0.8648,0.1828,
4,4000,30,495,68,622,146.663,438.53,988,56.418,0.8668,0.2278,
5,5000,30,590,422,675,157.003,441.27,987,68.389,0.8439,0.1849,
