generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,96,53,310,101.545,371.1,586,25.016,0.9649,0.0638,
2,2000,30,107,71,123,105.924,417.7,878,30.253,0.9723,0.7022,
3,3000,30,127,111,145,89.37,506.87,877,39.342,0.9331,0.4059,
4,4000,30,141,131,193,88.856,556.47,990,42.184,0.8744,0.9578,
5,5000,30,148,141,200,96.099,535.6,994,40.695,0.8365,0.3674,
