generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,428,261,620,94.711,391.33,726,29.42,0.9177,0.1827,
2,2000,30,501,427,867,127.253,486.23,886,58.114,0.8776,0.0854,
3,3000,30,520,505,1003,131.4,532.83,962,81.765,0.8333,0.1866,
4,4000,30,449,449,590,152.415,561.43,947,85.644,0.8488,0.3573,
5,5000,30,383,504,891,166.201,526.2,883,82.261,0.8189,0.3667,
