generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,86,40,228,96.602,322.7,660,27.994,0.97,0.1205,
2,2000,30,96,59,102,86.156,513.73,903,39.911,0.976,0.5108,
3,3000,30,115,89,134,111.018,575.97,982,59.272,0.9416,0.4482,
4,4000,30,135,103,136,119.191,496.27,981,40.204,0.9172,0.3455,
5,5000,30,80,65,138,112.74,510.27,980,43.185,0.9042,0.1564,
