generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,71,43,299,97.68,337.1,788,0.604,0.9685,0.2221,4.84324
2,2000,30,104,54,109,110.022,287.87,648,0.721,0.9731,0.2568,5.03797
3,3000,30,127,116,180,115.317,406.5,808,0.799,0.9305,0.3576,3.16238
4,4000,30,149,128,185,111.478,507.93,991,0.708,0.8906,0.5737,1.0761
5,5000,30,98,114,144,113.778,477.33,937,0.811,0.8639,0.5288,0.34237
