generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,272,151,416,101.629,345.93,675,0.813,0.9436,0.1421,5.93265
2,2000,30,420,220,380,141.805,397.57,814,0.798,0.9287,0.0813,4.54259
3,3000,30,136,92,150,132.454,365.1,798,0.632,0.9459,0.5159,2.90773
4,4000,30,162,139,193,135.385,422.7,881,0.606,0.9332,0.8516,0.79863
5,5000,30,187,166,247,146.412,426.1,880,0.509,0.8772,0.9266,0.23311
