generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,256,108,345,106.89,282.63,543,0.749,0.954,0.0397,
2,2000,30,276,214,290,114.99,293.87,637,0.594,0.948,0.1176,
3,3000,30,388,398,526,123.377,380.53,804,0.744,0.8972,0.21,
4,4000,30,649,445,746,159.063,424.5,835,0.491,0.8498,0.3078,
5,5000,30,669,451,767,167.055,430.03,834,0.463,0.8092,0.1922,
