generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,319,240,383,90.381,355.37,652,0.889,0.935,0.262,5.2932
2,2000,30,250,145,443,97.245,364.87,766,0.865,0.923,0.0932,5.54545
3,3000,30,188,115,211,94.917,395.17,824,0.762,0.9441,0.2071,5.71055
4,4000,30,174,164,263,93.807,389.57,773,0.956,0.9227,0.3265,5.12393
5,5000,30,210,195,276,94.295,399.47,792,0.899,0.8659,0.4907,5.35977
