generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,241,262,448,110.768,310.4,714,0.773,0.9447,0.2392,
2,2000,30,570,423,637,141.908,430.17,905,0.644,0.8873,0.6766,
3,3000,30,416,243,736,173.549,435.3,904,0.527,0.8719,0.0731,
4,4000,30,163,97,147,142.881,434.3,903,0.518,0.9379,0.0686,
5,5000,30,254,176,266,166.309,441.37,902,0.506,0.9355,0.2507,
