generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture
1,1000,58,139,220,136,103.682,193.47,700,20.871,0.9876,0.9983
2,2000,99,319,467,279,164.243,671.82,977,132.182,0.9695,1.0
3,3000,100,555,749,337,173.999,667.59,999,193.286,0.9478,1.0
4,4000,100,682,911,480,179.342,650.51,998,237.988,0.926,1.0
5,5000,100,771,1104,480,179.335,620.25,997,212.481,0.9136,1.0
