generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,394,411,586,131.889,135.2,249,47.965,0.9116,0.6869,,6,5.08,1,0.6667,10.4,67.1018,10.6541,6.2982,1.0453,0.0792,0.4251,1.911,0.0746,0.5149,0.3688,0.0841,0.2871
2,2000,40,737,480,748,158.736,132.97,245,78.309,0.8644,0.4158,,10,9.35,1,0.3333,28.575,188.3642,11.805,15.9563,1.0718,0.1114,0.4179,1.8705,0.1039,0.5268,0.414,0.1194,0.4731
3,3000,39,731,470,797,158.011,142.18,241,105.987,0.8459,0.2219,,15,13.51,1,0.0,41.2308,270.1468,11.3998,23.6974,1.0295,0.1568,0.4799,1.8217,0.109,0.4965,0.3816,0.143,0.3244
4,4000,40,642,522,946,157.596,142.45,247,107.542,0.8362,0.3291,,19,17.9,1,0.0,39.8,264.5744,12.5984,21.0006,1.0251,0.1568,0.4851,1.8466,0.1217,0.46,0.2757,0.1604,0.488
5,5000,40,545,429,553,142.879,138.15,247,83.849,0.8725,0.2497,,23,22.12,1,0.0,38.875,252.1625,11.7399,21.4791,0.9864,0.2196,0.4564,1.876,0.1058,0.5163,0.2648,0.1791,0.5564
6,6000,40,615,520,947,143.171,131.75,243,108.609,0.8457,0.8391,,27,26.6,1,0.0,41.675,271.0162,11.7036,23.1567,1.0501,0.2338,0.3288,1.836,0.1062,0.4831,0.2446,0.1676,0.4183
7,7000,40,662,533,976,161.519,125.38,239,117.446,0.8382,0.6868,,31,30.88,1,0.0,42.475,276.0501,12.0417,22.9246,1.0232,0.209,0.4754,1.8216,0.1452,0.6057,0.2434,0.1851,0.4802
8,8000,39,647,534,997,155.534,109.49,235,85.969,0.8346,0.6333,,36,35.05,1,0.0,47.0769,300.5459,10.9551,27.4343,1.1056,0.259,0.4704,1.7469,0.1808,0.5073,0.2755,0.1686,0.365
