generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,36,349,358,500,64.735,105.17,210,22.569,0.9185,0.7671,,39,29.72,2,0.6667,3.0,11.1996,25.2938,0.4428,0.8234,0.3377,0.7155,1.2944,0.0949,0.4054,0.6452,0.0958,0.4095
2,2000,40,571,458,787,85.153,99.7,189,48.222,0.871,0.9985,,39,37.12,1,0.3333,13.35,69.817,32.4616,2.1508,0.737,0.1489,0.4889,1.4479,0.0921,0.4131,0.6408,0.1502,0.5744
3,3000,38,574,522,940,54.753,108.55,246,53.697,0.8323,0.7022,,48,44.74,1,0.0,18.3421,87.1101,29.8919,2.9142,0.7137,0.1303,0.5843,1.493,0.1476,0.4543,0.7385,0.1605,0.5643
4,4000,39,582,510,895,83.214,139.95,246,70.64,0.8376,0.662,,53,49.74,1,0.0,23.4359,131.3315,26.3155,4.9907,0.6035,0.0874,0.4903,1.6396,0.1208,0.5275,0.4864,0.1111,0.4096
5,5000,40,590,546,980,111.292,131.97,241,80.385,0.8206,0.6945,,57,55.65,1,0.0,25.6,139.2957,27.7091,5.0271,0.5744,0.0604,0.5426,1.7239,0.108,0.4786,0.4744,0.158,0.505
6,6000,40,632,519,961,81.014,121.33,248,72.552,0.822,0.7657,,63,61.38,1,0.0,29.55,176.1154,29.4685,5.9764,0.5987,0.09,0.6285,1.6232,0.1272,0.33,0.4385,0.154,0.3694
7,7000,40,622,542,1058,110.297,138.4,237,99.151,0.8172,0.9413,,69,67.5,1,0.0,24.2,130.4235,28.294,4.6096,0.5659,0.0543,0.409,1.615,0.2847,0.6475,0.3524,0.1618,0.472
8,8000,39,608,546,957,124.026,131.21,248,81.642,0.8154,0.5022,,74,73.23,1,0.0,29.7949,175.1071,26.7567,6.5444,0.5969,0.082,0.4642,1.5533,0.2435,0.5221,0.3221,0.1045,0.5742
