generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,340,394,547,33.413,122.03,233,13.392,0.9182,0.6845,,28,23.98,1,0.6667,2.55,5.2749,9.4468,0.5584,0.5184,0.0,nan,1.4831,0.0,nan,0.8638,0.0,nan
2,2000,40,675,486,809,42.627,106.03,231,17.151,0.8649,0.8939,,34,31.35,1,0.3333,11.3,26.3508,9.4468,2.7894,0.5184,0.0,nan,1.4831,0.0,nan,0.8638,0.0,nan
3,3000,40,611,541,965,48.232,124.33,245,30.14,0.829,0.3827,,42,39.23,1,0.0,17.0,41.235,9.4468,4.365,0.5184,0.0,nan,1.4831,0.0,nan,0.8638,0.0,nan
4,4000,40,452,533,1087,50.546,115.03,248,30.7,0.8357,0.2572,,46,44.92,1,0.0,23.6,69.5718,9.4468,7.3646,0.5184,0.0,nan,1.4831,0.0,nan,0.8638,0.0,nan
5,5000,40,421,559,749,42.012,106.72,230,22.592,0.8291,0.0841,,53,51.12,1,0.0,20.225,59.1012,9.4468,6.2562,0.5184,0.0,nan,1.4831,0.0,nan,0.8638,0.0,nan
6,6000,40,708,563,903,63.836,130.78,222,41.755,0.8184,0.7031,,58,55.8,1,0.0,28.875,96.0105,9.4468,10.1632,0.5184,0.0,nan,1.4831,0.0,nan,0.8638,0.0,nan
7,7000,40,592,526,965,60.869,115.45,247,38.541,0.8133,0.4021,,62,61.0,1,0.0,26.775,85.0187,9.4468,8.9997,0.5184,0.0,nan,1.4831,0.0,nan,0.8638,0.0,nan
8,8000,40,469,385,930,44.217,109.55,223,28.719,0.8608,0.0689,,67,66.22,1,0.0,24.725,81.8799,9.4468,8.6674,0.5184,0.0,nan,1.4831,0.0,nan,0.8638,0.0,nan
