generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,382,363,580,111.588,130.6,248,22.284,0.9151,0.0973,,22,19.93,1,0.6667,5.65,25.9439,24.091,1.0769,1.0946,0.0991,0.4395,1.429,0.1286,0.4994,0.4708,0.1346,0.5886
2,2000,40,157,122,275,88.759,83.6,201,16.542,0.9309,0.1968,,31,29.23,1,0.3333,10.25,47.9566,23.6074,2.0314,1.1846,0.1163,0.5632,1.3612,0.173,0.6563,0.4757,0.0808,0.4935
3,3000,39,220,216,393,86.167,122.9,236,41.456,0.9088,0.2037,,40,37.87,1,0.0,14.2051,59.9771,21.1344,2.8379,1.1629,0.2397,0.5396,1.29,0.1526,0.5745,0.5387,0.1189,0.4663
4,4000,40,263,266,354,117.918,124.42,246,57.66,0.87,0.3743,,46,43.23,1,0.0,22.25,116.5487,18.3461,6.3528,0.9575,0.1684,0.6317,1.5068,0.176,0.3566,0.6298,0.1147,0.4251
5,5000,40,205,236,393,108.259,107.4,246,53.731,0.8525,0.1841,,51,49.0,1,0.0,23.925,122.0014,18.5504,6.5767,1.0417,0.321,0.7773,1.3878,0.1056,0.4417,0.6015,0.1431,0.3422
6,6000,40,325,315,467,115.688,125.0,249,59.643,0.8149,0.6704,,54,52.85,1,0.0,33.075,181.8598,14.8105,12.2791,0.8938,0.177,0.5114,1.5041,0.1137,0.4644,0.6254,0.0998,0.3082
7,7000,39,282,310,491,116.11,124.72,243,82.344,0.8072,0.1954,,58,57.33,1,0.0,33.5128,187.7174,14.7611,12.7171,0.8649,0.2165,0.572,1.5567,0.1703,0.6171,0.6616,0.0926,0.4108
8,8000,40,255,275,565,126.149,116.88,246,71.507,0.8124,0.126,,63,61.9,1,0.0,30.75,162.2249,15.5077,10.4609,0.9106,0.1363,0.4235,1.6697,0.1563,0.5883,0.6585,0.1147,0.4649
