generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,378,373,546,98.354,128.5,247,40.83,0.921,0.6101,,10,8.47,2,0.6667,10.35,66.2991,15.3456,4.3204,0.862,0.0888,0.9332,1.0372,0.3432,0.9332,0.1455,0.2645,0.9332
2,2000,40,757,503,838,152.757,133.75,247,80.939,0.866,0.8655,,15,13.15,1,0.3333,26.05,162.9071,15.8812,10.2578,0.9029,0.0,nan,0.8791,0.0,nan,0.0237,0.0,nan
3,3000,40,720,407,986,126.056,125.75,243,73.602,0.843,0.0565,,19,17.3,1,0.0,31.3,193.9457,15.8812,12.2123,0.9029,0.0,nan,0.8791,0.0,nan,0.0237,0.0,nan
4,4000,39,677,483,902,128.738,106.97,239,60.833,0.8642,0.2275,,22,21.87,1,0.0,27.1026,162.6235,15.4842,10.5026,0.9029,0.0,nan,0.8791,0.0,nan,0.0237,0.0,nan
5,5000,40,123,91,221,93.271,111.75,239,43.354,0.921,0.1288,,28,26.57,1,0.0,24.45,150.0042,15.8812,9.4454,0.9029,0.0,nan,0.8791,0.0,nan,0.0237,0.0,nan
6,6000,40,244,162,163,131.492,128.07,246,73.166,0.9611,0.2539,,32,31.35,1,0.0,28.2,180.7397,15.8812,11.3807,0.9029,0.0,nan,0.8791,0.0,nan,0.0237,0.0,nan
7,7000,40,239,252,424,139.318,127.22,240,86.681,0.9346,0.5303,,36,35.6,1,0.0,41.625,265.6932,15.8812,16.73,0.9029,0.0,nan,0.8791,0.0,nan,0.0237,0.0,nan
8,8000,40,459,362,656,138.84,135.05,247,112.108,0.9026,0.9949,,40,39.77,1,0.0,46.125,286.1846,15.8812,18.0203,0.9029,0.0,nan,0.8791,0.0,nan,0.0237,0.0,nan
