generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,36,396,385,556,84.342,116.64,238,12.565,0.9129,0.8936,,37,30.39,1,0.6667,2.7222,6.4937,13.1621,0.4934,0.9878,0.1059,0.4911,1.0143,0.2337,0.615,0.2001,0.1166,0.5133
2,2000,40,646,453,763,97.895,112.85,242,19.739,0.8654,0.3463,,38,36.17,1,0.3333,10.25,54.614,12.3791,4.4118,1.0263,0.0741,0.3974,1.0157,0.0847,0.3895,0.3256,0.0698,0.4293
3,3000,40,565,448,817,98.258,119.33,244,24.089,0.8649,0.409,,44,41.98,1,0.0,10.175,49.7705,12.9688,3.8377,1.0192,0.094,0.4156,1.028,0.1473,0.4357,0.295,0.124,0.4885
4,4000,40,241,248,560,66.372,117.38,247,21.241,0.8809,0.1853,,50,47.67,1,0.0,15.9,79.8673,11.837,6.7473,0.8687,0.1688,0.581,1.0705,0.1605,0.5503,0.3508,0.1046,0.5343
5,5000,36,184,233,202,42.64,99.31,230,26.695,0.9191,0.2443,,57,55.36,1,0.0,11.9722,55.8421,14.7679,3.7813,0.776,0.0694,0.3092,1.3455,0.1891,0.4136,0.2927,0.0682,0.4044
6,6000,15,226,302,440,76.53,74.33,156,18.018,0.9046,0.2211,,74,72.27,1,0.0,15.0,27.7384,7.337,3.7806,1.0652,0.064,0.4519,1.3477,0.0682,0.4804,0.4511,0.0486,0.3086
7,7000,40,454,465,765,120.426,139.6,241,62.357,0.8488,0.1736,,80,78.38,1,0.0,25.75,107.2702,18.975,5.6532,1.0328,0.1628,0.5641,1.2893,0.1067,0.4707,0.4709,0.0843,0.3074
8,8000,40,258,382,941,95.371,116.6,243,38.307,0.8503,0.0839,,86,84.92,1,0.0,22.875,110.6615,17.5609,6.3016,1.0407,0.1734,0.5962,1.1589,0.1257,0.4445,0.4792,0.0782,0.4478
