generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,394,239,502,96.29,116.53,248,23.495,0.9226,0.0695,,18,15.9,1,0.6667,6.975,29.2423,18.1004,1.6156,0.8597,0.0862,0.4771,1.6177,0.0898,0.4278,0.5703,0.1108,0.4184
2,2000,40,296,269,467,89.83,132.85,247,43.46,0.9177,0.8193,,24,22.15,1,0.3333,14.675,71.9857,15.9091,4.5248,0.7999,0.134,0.5594,1.5118,0.1908,0.422,0.6073,0.1218,0.4016
3,3000,40,380,366,610,95.103,125.28,243,42.113,0.854,0.44,,29,27.07,1,0.0,20.25,94.5674,13.4401,7.0362,0.7455,0.1594,0.4518,1.4392,0.1955,0.4364,0.6945,0.1131,0.3995
4,4000,39,400,320,469,95.532,139.21,241,42.187,0.8698,0.1894,,33,31.74,1,0.0,22.6923,103.0503,13.5748,7.5913,0.8274,0.1676,0.3649,1.3494,0.2321,0.5544,0.6293,0.1106,0.4675
5,5000,40,442,402,616,122.668,137.1,246,61.821,0.8362,0.248,,38,36.67,1,0.0,25.975,129.5144,14.7814,8.762,0.8804,0.1752,0.3606,1.3927,0.2598,0.7066,0.6623,0.0831,0.3734
6,6000,40,449,412,678,142.363,140.3,246,75.094,0.8324,0.8106,,42,40.5,1,0.0,33.325,175.1589,13.0321,13.4405,0.9328,0.1605,0.3177,1.3799,0.2433,0.7028,0.6096,0.1092,0.3553
7,7000,40,418,428,725,132.224,142.12,249,58.47,0.8133,0.9985,,46,44.95,1,0.0,24.625,111.5086,13.6373,8.1767,0.9333,0.1251,0.2472,1.4477,0.1659,0.4203,0.6348,0.1426,0.3195
8,8000,39,395,423,655,141.644,151.62,248,50.764,0.8196,0.6644,,51,49.23,1,0.0,30.1538,116.8674,13.7617,8.4922,0.9309,0.182,0.362,1.5847,0.1857,0.5127,0.7483,0.2157,0.6012
