generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,444,433,691,117.961,143.57,248,31.656,0.913,0.2421,,16,11.28,1,0.6667,9.4,28.5381,13.8709,2.0574,0.6009,0.0815,0.6007,1.4757,0.1762,0.5348,0.5371,0.1854,0.5099
2,2000,40,784,542,995,122.695,131.45,244,46.049,0.8559,0.4256,,18,17.12,1,0.3333,18.8,103.3366,14.6008,7.0775,0.6007,0.0927,0.6307,1.6724,0.1228,0.5385,0.4042,0.0976,0.4727
3,3000,40,726,540,1076,126.576,126.45,239,53.934,0.8309,0.3913,,24,22.93,1,0.0,18.75,105.0086,14.0041,7.4984,0.6203,0.1092,0.6548,1.7537,0.1047,0.3281,0.417,0.1282,0.3811
4,4000,40,398,377,798,116.929,116.3,249,49.958,0.8716,0.2329,,29,27.82,1,0.0,22.025,150.0808,12.3181,12.1838,0.641,0.1118,0.5195,1.6063,0.1651,0.3835,0.382,0.0948,0.4908
5,5000,40,336,612,949,99.381,106.85,240,39.356,0.8189,0.2621,,35,33.55,1,0.0,20.05,88.4379,13.8659,6.3781,0.677,0.1426,0.5539,1.5842,0.2305,0.6468,0.4006,0.1241,0.3832
6,6000,39,849,587,908,104.218,99.31,247,22.755,0.829,0.8545,,40,38.67,1,0.0,24.2564,90.577,12.2569,7.3899,0.6238,0.1378,0.6616,1.5976,0.2111,0.6626,0.4159,0.1079,0.3997
7,7000,40,590,634,1248,129.878,106.25,243,48.459,0.8046,0.3806,,45,43.98,1,0.0,24.55,109.729,11.5961,9.4626,0.7214,0.2063,0.659,1.7604,0.0952,0.399,0.4028,0.1073,0.559
8,8000,39,732,568,1099,143.361,123.49,239,63.594,0.8271,0.6079,,49,48.74,1,0.0,33.7692,135.6326,11.8833,11.4137,0.6287,0.1592,0.6997,1.8237,0.1033,0.4671,0.4199,0.1429,0.4053
