generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,444,382,532,143.342,113.35,244,81.73,0.9207,0.7478,,13,11.47,3,0.6667,7.7,118.6703,16.5882,7.1539,1.4609,0.526,0.6536,1.0401,0.1598,0.8388,0.5375,0.0226,0.8213
2,2000,39,705,497,886,161.4,120.72,240,162.29,0.8626,0.4817,,18,16.74,3,0.3333,23.2308,369.0948,11.8813,31.0652,1.8385,0.3614,0.8795,1.1009,0.0886,0.9126,0.5183,0.0164,0.9319
3,3000,40,616,500,955,164.257,120.53,246,192.418,0.8463,0.4166,,22,21.27,1,0.0,29.45,482.3657,10.526,45.8263,1.9798,0.0,nan,1.1214,0.0,nan,0.5113,0.0,nan
4,4000,40,570,527,1002,138.74,130.07,242,163.203,0.8438,0.5635,,26,25.6,1,0.0,34.775,596.8479,10.526,56.7025,1.9798,0.0,nan,1.1214,0.0,nan,0.5113,0.0,nan
5,5000,40,680,560,1040,160.043,125.65,238,197.531,0.8285,0.9559,,31,29.95,1,0.0,32.125,555.641,10.526,52.7877,1.9798,0.0,nan,1.1214,0.0,nan,0.5113,0.0,nan
6,6000,40,685,542,1073,154.604,126.65,243,185.524,0.8293,0.6705,,35,34.25,1,0.0,38.2,644.9395,10.526,61.2714,1.9798,0.0,nan,1.1214,0.0,nan,0.5113,0.0,nan
