generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,456,413,606,108.384,124.5,236,32.846,0.9121,0.3242,,13,9.57,2,0.6667,8.075,44.1927,18.3804,2.4043,1.0645,0.3411,0.9076,1.0861,0.5244,0.9076,0.2822,0.4138,0.9076
2,2000,39,532,335,789,120.087,135.38,245,47.337,0.8784,0.2226,,18,16.13,1,0.3333,16.8718,90.4857,14.9076,6.0698,0.8676,0.0,nan,0.7833,0.0,nan,0.0432,0.0,nan
3,3000,40,430,359,891,117.485,124.5,249,69.921,0.8407,0.2221,,24,20.52,1,0.0,23.175,127.756,15.2898,8.3556,0.8676,0.0,nan,0.7833,0.0,nan,0.0432,0.0,nan
4,4000,40,356,596,882,102.762,115.53,249,51.614,0.8177,0.7996,,25,24.77,1,0.0,31.65,191.3529,15.2898,12.515,0.8676,0.0,nan,0.7833,0.0,nan,0.0432,0.0,nan
5,5000,40,692,587,760,140.077,124.6,249,62.185,0.7974,0.8145,,30,29.48,1,0.0,29.65,174.2564,15.2898,11.3969,0.8676,0.0,nan,0.7833,0.0,nan,0.0432,0.0,nan
6,6000,40,654,551,964,149.503,134.38,249,91.341,0.8187,0.9189,,34,33.88,1,0.0,36.85,231.6575,15.2898,15.1511,0.8676,0.0,nan,0.7833,0.0,nan,0.0432,0.0,nan
7,7000,40,583,555,977,153.166,139.82,248,77.444,0.8295,0.9932,,39,38.52,1,0.0,30.2,182.7747,15.2898,11.954,0.8676,0.0,nan,0.7833,0.0,nan,0.0432,0.0,nan
8,8000,40,610,552,1029,156.03,132.4,244,93.417,0.8278,0.8172,,44,43.23,1,0.0,31.875,201.29,15.2898,13.165,0.8676,0.0,nan,0.7833,0.0,nan,0.0432,0.0,nan
