generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,39,322,206,527,135.933,144.38,239,62.763,0.9269,0.048,,15,12.31,2,0.6667,13.2564,73.1329,18.1607,4.027,1.7525,0.0983,0.9695,0.8953,0.1503,0.9695,0.5063,0.0508,0.9695
2,2000,40,520,349,731,151.844,122.6,244,69.822,0.8736,0.123,,19,17.07,1,0.3333,26.875,168.8784,18.8503,8.9589,1.7684,0.0,nan,0.8709,0.0,nan,0.4981,0.0,nan
3,3000,40,443,432,558,129.94,109.62,237,60.552,0.8591,0.3959,,24,21.9,1,0.0,28.825,180.3716,18.8503,9.5686,1.7684,0.0,nan,0.8709,0.0,nan,0.4981,0.0,nan
4,4000,40,280,346,521,138.407,119.4,242,65.203,0.8654,0.1884,,29,25.65,1,0.0,36.2,233.9598,18.8503,12.4115,1.7684,0.0,nan,0.8709,0.0,nan,0.4981,0.0,nan
5,5000,39,275,362,450,130.86,105.46,233,63.247,0.8537,0.5461,,33,28.97,1,0.0,35.3846,217.0852,18.3791,11.8115,1.7684,0.0,nan,0.8709,0.0,nan,0.4981,0.0,nan
6,6000,40,379,397,745,145.01,115.75,243,86.287,0.8374,0.2514,,37,33.17,1,0.0,49.45,321.4447,18.8503,17.0525,1.7684,0.0,nan,0.8709,0.0,nan,0.4981,0.0,nan
7,7000,40,300,481,855,146.8,117.83,239,91.174,0.8259,0.3067,,41,37.48,1,0.0,41.175,256.4355,18.8503,13.6038,1.7684,0.0,nan,0.8709,0.0,nan,0.4981,0.0,nan
8,8000,40,465,449,666,166.174,131.9,248,129.561,0.8101,0.8749,,46,41.6,1,0.0,56.25,360.731,18.8503,19.1366,1.7684,0.0,nan,0.8709,0.0,nan,0.4981,0.0,nan
