generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,366,367,507,87.387,108.83,240,10.715,0.9234,0.8145,,36,28.82,5,1.0,5.85,3.7405,15.6152,0.2395,1.2521,0.1375,0.8708,0.9874,0.4781,0.8756,0.6652,0.2299,0.5552
2,2000,40,696,502,797,103.659,107.3,228,12.704,0.8752,0.5311,,51,38.02,3,1.0,19.9,13.5319,16.1666,0.837,1.2597,0.1452,0.9348,0.8841,0.4344,0.9366,0.7585,0.1063,0.835
3,3000,40,568,528,852,95.558,115.9,246,16.113,0.8527,0.2933,,66,49.48,2,1.0,24.0,16.2448,16.8987,0.9613,1.3276,0.1922,0.8788,1.1041,0.5639,0.8788,0.7771,0.1249,0.8788
4,4000,39,377,347,997,100.549,127.1,241,20.668,0.8574,0.0758,,77,67.03,2,1.0,36.1026,21.5442,15.8363,1.3604,1.4888,0.1847,0.8927,1.5772,0.5418,0.8927,0.8819,0.12,0.8927
5,5000,40,770,577,958,116.188,139.15,246,26.018,0.8143,0.2508,,90,79.05,2,1.0,29.975,18.736,16.2305,1.1544,1.4917,0.1832,0.8982,1.5857,0.5376,0.8982,0.8838,0.1191,0.8982
6,6000,40,357,634,1000,116.799,139.35,242,24.492,0.8178,0.805,,98,89.45,2,1.0,45.325,27.7731,16.1053,1.7245,1.5225,0.1642,0.9252,1.6759,0.4816,0.9252,0.9038,0.1067,0.9252
