generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,319,201,578,85.742,112.67,244,10.736,0.9258,0.0705,,34,28.38,4,1.0,4.825,2.9106,11.6217,0.2504,1.7064,0.4001,0.8711,0.8516,0.2354,0.8227,0.3509,0.1936,0.3806
2,2000,39,246,210,317,97.729,113.69,241,8.768,0.9294,0.3605,,49,42.28,3,1.0,3.9231,2.485,11.1779,0.2223,1.787,0.3289,0.9043,0.7783,0.1598,0.9192,0.3304,0.1302,0.1983
3,3000,40,247,316,581,113.948,115.7,232,11.861,0.8679,0.8405,,59,51.77,1,1.0,12.625,8.3459,11.2914,0.7391,1.9066,0.0,nan,0.7108,0.0,nan,0.3259,0.0,nan
4,4000,40,343,351,570,107.401,117.88,242,11.279,0.8399,0.6395,,70,64.3,1,1.0,16.3,10.5799,11.2914,0.937,1.9066,0.0,nan,0.7108,0.0,nan,0.3259,0.0,nan
5,5000,40,310,375,500,104.644,116.55,248,10.764,0.8323,0.502,,82,75.97,1,1.0,15.525,9.5375,11.2914,0.8447,1.9066,0.0,nan,0.7108,0.0,nan,0.3259,0.0,nan
6,6000,40,476,317,488,106.755,120.2,248,9.758,0.824,0.1904,,93,84.85,1,1.0,12.275,7.6403,11.2914,0.6766,1.9066,0.0,nan,0.7108,0.0,nan,0.3259,0.0,nan
