generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,373,245,543,105.545,144.68,246,65.558,0.9237,0.1878,,15,9.25,3,0.6667,11.6,63.7021,22.0513,2.8888,1.5044,0.4852,0.8099,0.975,0.1595,0.3587,0.52,0.1208,0.4189
2,2000,40,588,460,677,121.341,130.25,248,129.556,0.8781,0.5834,,22,17.32,3,0.3333,21.6,183.8748,20.0168,9.186,1.4352,0.5484,0.8165,1.1022,0.1793,0.39,0.4657,0.132,0.3677
3,3000,39,535,541,991,134.439,128.56,245,116.545,0.821,0.8439,,26,20.95,2,0.0,32.0,284.6364,23.6736,12.0234,1.7032,0.3175,0.7213,1.0722,0.1448,0.4787,0.4006,0.1034,0.6065
4,4000,40,461,521,770,130.225,116.05,246,109.92,0.8299,0.8053,,27,25.7,1,0.0,37.375,264.3274,25.0646,10.5458,1.7421,0.1746,0.5787,1.1558,0.0982,0.3141,0.3352,0.0774,0.3547
5,5000,40,445,536,880,99.907,114.9,249,66.83,0.8161,0.11,,32,30.02,1,0.0,30.375,244.9026,23.1404,10.5833,1.8439,0.1902,0.7159,1.1037,0.0934,0.4529,0.3815,0.0953,0.4449
6,6000,40,587,546,941,137.336,109.72,243,104.314,0.8176,0.9603,,37,36.05,1,0.0,33.95,281.8936,23.6981,11.8952,1.5936,0.1619,0.5327,1.1897,0.1108,0.5176,0.4062,0.0818,0.4725
7,7000,40,555,536,978,134.684,122.33,236,71.315,0.8093,0.9483,,42,40.75,1,0.0,38.975,219.1314,22.9854,9.5335,1.5545,0.1062,0.3636,1.2724,0.116,0.4451,0.3806,0.1165,0.4161
8,8000,40,533,551,870,135.768,124.05,232,78.877,0.8205,0.6932,,46,45.35,1,0.0,48.925,235.1145,23.1276,10.166,1.4895,0.1583,0.5153,1.2789,0.1238,0.4915,0.3689,0.1426,0.3265
