generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,361,356,564,54.05,110.3,244,17.792,0.9163,0.1832,,33,29.35,1,0.6667,1.775,7.3466,11.4888,0.6395,0.6481,0.0938,0.4338,1.6932,0.1428,0.4989,0.4864,0.0813,0.3486
2,2000,40,606,445,686,54.855,112.83,249,19.462,0.8856,0.775,,44,41.2,1,0.3333,7.15,28.2343,16.2134,1.7414,0.6558,0.0885,0.46,1.8243,0.1162,0.5338,0.4096,0.1123,0.3851
3,3000,40,569,484,933,77.663,120.88,239,34.439,0.8437,0.2332,,51,48.42,1,0.0,15.4,59.3899,19.0659,3.115,0.7669,0.1714,0.6372,1.8596,0.1351,0.6229,0.3822,0.0838,0.3776
4,4000,40,610,483,966,84.019,127.38,243,40.837,0.8336,0.196,,56,53.0,1,0.0,23.45,80.8257,14.3382,5.6371,0.6756,0.1812,0.7542,1.7546,0.1888,0.5672,0.3862,0.0891,0.4081
5,5000,40,447,291,814,58.262,122.65,232,26.808,0.8783,0.0827,,62,59.23,1,0.0,12.525,51.6951,8.1795,6.3201,0.5615,0.0582,0.5258,1.3222,0.2191,0.5908,0.3936,0.106,0.4608
6,6000,40,644,347,584,68.662,133.1,247,32.767,0.8686,0.2021,,65,63.62,1,0.0,16.675,53.9754,8.2203,6.5661,0.5601,0.0642,0.5772,1.1724,0.1468,0.4131,0.3078,0.0998,0.4674
7,7000,40,407,354,593,61.04,123.08,242,23.727,0.8572,0.2168,,70,69.1,1,0.0,15.875,49.449,8.8485,5.5884,0.6091,0.1198,0.6808,1.1549,0.1431,0.562,0.3829,0.1151,0.4788
8,8000,40,504,498,816,61.794,110.15,231,36.461,0.8309,0.6732,,75,74.2,1,0.0,22.8,79.1986,8.2258,9.628,0.5428,0.0426,0.5901,1.1084,0.1133,0.4063,0.3996,0.1126,0.4008
