generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,448,428,621,141.082,131.25,246,43.632,0.912,0.3342,,17,13.88,2,0.6667,18.45,31.0743,15.0316,2.0673,1.5933,0.2155,0.9332,0.7905,0.3622,0.9332,0.8657,0.181,0.9332
2,2000,38,689,503,866,127.812,136.11,249,48.988,0.8614,0.2576,,21,19.84,1,0.3333,47.5526,65.6847,11.9415,5.5005,1.6926,0.0,nan,0.6237,0.0,nan,0.9491,0.0,nan
3,3000,39,445,570,818,138.445,144.46,246,52.985,0.8477,0.3374,,27,25.41,1,0.0,37.0769,59.9902,12.2558,4.8949,1.6926,0.0,nan,0.6237,0.0,nan,0.9491,0.0,nan
4,4000,40,664,601,1007,117.067,135.03,246,45.837,0.8271,0.5545,,32,30.38,1,0.0,43.225,80.0593,12.57,6.3691,1.6926,0.0,nan,0.6237,0.0,nan,0.9491,0.0,nan
5,5000,40,661,471,666,118.452,129.65,242,38.936,0.8332,0.0608,,37,35.67,1,0.0,37.575,66.8963,12.57,5.3219,1.6926,0.0,nan,0.6237,0.0,nan,0.9491,0.0,nan
6,6000,6,131,130,177,108.751,92.5,156,22.473,0.9061,0.1094,,42,40.67,1,0.0,194.0,59.8237,1.8855,31.7283,1.6926,0.0,nan,0.6237,0.0,nan,0.9491,0.0,nan
7,7000,40,384,381,623,145.803,123.95,247,49.318,0.8993,0.3809,,51,48.23,1,0.0,33.625,63.7642,12.57,5.0727,1.6926,0.0,nan,0.6237,0.0,nan,0.9491,0.0,nan
8,8000,39,314,368,665,110.79,119.03,245,43.135,0.8835,0.1605,,56,53.54,1,0.0,39.5385,76.4673,12.2558,6.2393,1.6926,0.0,nan,0.6237,0.0,nan,0.9491,0.0,nan
