generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,500,427,651,133.147,126.72,247,56.372,0.9054,0.5413,,12,9.62,2,0.6667,16.575,59.623,25.684,2.3214,1.0943,0.0691,0.9655,1.3106,0.0374,0.9655,0.2853,0.0025,0.9655
2,2000,40,709,518,888,137.07,139.12,243,69.737,0.8503,0.8379,,16,14.3,2,0.3333,38.775,135.1675,25.9207,5.2146,1.0864,0.0495,0.9704,1.3149,0.0268,0.9704,0.2856,0.0018,0.9704
3,3000,40,682,548,996,132.108,121.45,248,60.786,0.8291,0.6889,,19,18.85,1,0.0,48.825,169.5666,26.1575,6.4825,1.0784,0.0,nan,1.3192,0.0,nan,0.2859,0.0,nan
4,4000,40,622,524,1017,149.817,114.8,247,55.736,0.8326,0.7641,,24,23.25,1,0.0,53.975,175.2901,26.1575,6.7013,1.0784,0.0,nan,1.3192,0.0,nan,0.2859,0.0,nan
5,5000,40,610,563,987,146.697,116.35,248,76.576,0.8212,0.7222,,28,27.57,1,0.0,52.8,179.2094,26.1575,6.8512,1.0784,0.0,nan,1.3192,0.0,nan,0.2859,0.0,nan
6,6000,40,651,540,1050,127.47,110.25,244,58.622,0.8214,0.6844,,33,31.93,1,0.0,57.325,189.0586,26.1575,7.2277,1.0784,0.0,nan,1.3192,0.0,nan,0.2859,0.0,nan
7,7000,40,616,535,1001,122.368,127.88,247,71.494,0.8225,0.4061,,37,36.3,1,0.0,55.775,174.2752,26.1575,6.6625,1.0784,0.0,nan,1.3192,0.0,nan,0.2859,0.0,nan
8,8000,40,622,519,1014,128.793,112.78,249,53.824,0.8286,0.2685,,42,41.0,1,0.0,49.85,161.7184,26.1575,6.1825,1.0784,0.0,nan,1.3192,0.0,nan,0.2859,0.0,nan
