generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,366,218,560,120.529,118.7,227,359.465,0.9325,0.2082,,10,8.82,4,0.6667,12.65,746.9695,25.8213,28.9284,1.5033,0.5738,0.758,1.3179,0.3522,0.5085,0.5886,0.2883,0.7477
2,2000,40,618,448,783,141.273,120.8,244,342.447,0.8901,0.0585,,15,14.12,2,0.3333,16.75,968.3152,19.6954,49.1644,1.2351,0.6879,0.8404,1.2924,0.1599,0.8404,0.56,0.3059,0.8404
3,3000,40,235,231,330,115.792,125.1,248,250.166,0.914,0.349,,20,18.3,2,0.0,13.425,667.4523,14.9542,44.633,0.7857,0.4573,0.9477,1.3968,0.1063,0.9477,0.3601,0.2034,0.9477
4,4000,40,425,372,674,127.56,122.5,244,247.338,0.8905,0.3001,,25,22.98,1,0.0,15.025,734.6734,13.1307,55.9508,0.6129,0.0,nan,1.437,0.0,nan,0.2833,0.0,nan
5,5000,39,331,340,510,108.673,116.51,240,485.932,0.8885,0.2277,,31,28.87,1,0.0,16.2308,821.6237,12.8024,64.1771,0.6129,0.0,nan,1.437,0.0,nan,0.2833,0.0,nan
6,6000,40,338,397,552,121.06,120.83,246,393.469,0.878,0.5372,,36,34.12,1,0.0,17.15,905.3975,13.1307,68.9527,0.6129,0.0,nan,1.437,0.0,nan,0.2833,0.0,nan
