generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,293,363,504,112.453,128.85,242,41.715,0.9233,0.1436,,15,10.95,1,0.6667,8.8,48.1493,16.6392,2.8937,0.8158,0.1009,0.4448,0.8301,0.1346,0.5136,0.8161,0.1451,0.5619
2,2000,40,370,231,780,119.421,119.8,245,42.874,0.8748,0.0732,,18,15.5,1,0.3333,24.95,151.6293,14.8939,10.1806,0.8122,0.1284,0.3991,0.7974,0.1371,0.5152,0.7817,0.1287,0.4734
3,3000,40,412,432,780,122.66,108.0,219,70.981,0.8597,0.3618,,23,20.7,1,0.0,21.875,133.2451,14.8832,8.9527,0.8417,0.1741,0.3577,0.967,0.1145,0.3669,0.91,0.0757,0.569
4,4000,40,443,466,640,101.263,110.05,244,63.996,0.8404,0.4017,,28,25.8,1,0.0,32.275,203.9797,13.5354,15.0701,0.8314,0.2173,0.4568,0.9868,0.1221,0.2705,0.9023,0.082,0.5212
5,5000,40,359,275,843,78.525,105.8,246,40.63,0.8261,0.0804,,33,31.27,1,0.0,25.35,155.4273,12.6695,12.2678,0.6694,0.1069,0.3749,1.0599,0.1375,0.3288,0.9185,0.062,0.4988
6,6000,40,175,176,473,115.647,117.4,247,44.98,0.8893,0.1035,,37,36.12,1,0.0,23.1,150.4407,13.1434,11.4461,0.6628,0.1167,0.4575,1.0527,0.1784,0.5785,0.8286,0.0956,0.412
7,7000,40,429,332,517,100.981,128.3,244,48.782,0.8869,0.1511,,46,44.17,1,0.0,15.175,92.3689,14.3666,6.4294,0.5628,0.0552,0.5798,1.3104,0.165,0.5304,0.9371,0.0567,0.4971
8,8000,40,235,272,434,104.265,121.83,240,47.615,0.8945,0.1401,,51,49.67,1,0.0,23.55,142.1084,14.1971,10.0097,0.6503,0.1185,0.5067,1.3582,0.2723,0.5117,0.8745,0.0569,0.3383
