generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,401,382,499,108.673,125.35,248,26.822,0.9224,0.7979,,13,10.62,3,0.6667,6.375,33.3724,18.3477,1.8189,1.5521,0.3071,0.787,1.192,0.2825,0.6239,0.3581,0.298,0.6187
2,2000,40,687,472,834,117.17,138.12,248,68.491,0.8736,0.446,,18,15.03,3,0.3333,23.75,152.2709,22.8013,6.6782,1.3544,0.2299,0.915,1.364,0.2147,0.8509,0.1773,0.2264,0.8482
3,3000,40,373,547,737,99.838,134.9,241,73.816,0.8621,0.3571,,23,19.5,3,0.0,30.975,201.2324,23.4463,8.5827,1.3176,0.1824,0.9166,1.3796,0.2175,0.9111,0.1612,0.2301,0.9104
4,4000,40,756,568,907,126.162,129.32,244,66.434,0.833,0.7639,,25,24.25,2,0.0,36.4,242.5897,24.1188,10.0581,1.2852,0.125,0.96,1.4026,0.1996,0.96,0.1371,0.2117,0.96
5,5000,40,634,566,1016,136.706,127.42,248,110.314,0.8257,0.9609,,30,28.65,1,0.0,41.275,278.0226,25.2099,11.0283,1.2496,0.0,nan,1.4595,0.0,nan,0.0768,0.0,nan
6,6000,40,689,571,1028,140.094,109.12,244,97.883,0.8319,0.6898,,34,33.08,1,0.0,55.2,379.0951,25.2099,15.0376,1.2496,0.0,nan,1.4595,0.0,nan,0.0768,0.0,nan
