generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,413,368,609,218.745,110.58,239,36.283,0.9175,0.1658,,18,14.78,3,0.6667,7.05,40.3017,15.4301,2.6119,1.5781,0.4109,0.8053,1.725,0.1198,0.5557,0.9111,0.082,0.5886
2,2000,40,787,503,868,189.259,101.03,235,35.192,0.863,0.6714,,22,18.75,2,0.3333,17.925,100.1521,15.4731,6.4727,1.4769,0.3734,0.7174,1.6535,0.1177,0.4288,0.8333,0.0829,0.4271
3,3000,40,705,539,995,184.501,106.95,231,45.314,0.8337,0.7565,,27,22.98,2,0.0,20.525,125.4094,16.4206,7.6373,1.492,0.4224,0.7213,1.6946,0.161,0.4827,0.8073,0.1179,0.5013
4,4000,40,479,288,982,158.429,109.53,243,30.906,0.8563,0.057,,30,28.0,2,0.0,17.85,106.9039,16.443,6.5015,1.5722,0.4483,0.8169,1.6968,0.1865,0.5612,0.7361,0.1216,0.3843
5,5000,40,399,332,601,224.785,114.75,249,47.044,0.8923,0.261,,35,34.38,1,0.0,16.45,98.0147,19.9666,4.9089,1.8228,0.1181,0.4322,1.4796,0.2009,0.5323,0.7328,0.0572,0.3324
6,6000,40,426,457,813,225.658,98.2,243,59.507,0.8709,0.6456,,40,38.9,1,0.0,23.375,146.356,17.9534,8.152,1.763,0.1296,0.4355,1.4444,0.1199,0.4011,0.7198,0.1083,0.3827
7,7000,39,382,273,880,204.48,117.64,248,61.453,0.8531,0.06,,44,43.13,1,0.0,23.2051,140.9985,17.3183,8.1416,1.7252,0.1159,0.4042,1.4418,0.1331,0.5256,0.7192,0.1112,0.492
8,8000,40,322,381,797,153.433,97.12,189,32.097,0.8915,0.285,,52,49.9,1,0.0,11.475,71.4372,22.1842,3.2202,1.7591,0.078,0.4081,1.4166,0.1188,0.3245,0.6189,0.1324,0.5798
