generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,377,371,549,84.874,118.97,237,22.764,0.915,0.9559,,18,14.47,2,0.6667,4.8,26.556,16.2366,1.6356,0.8937,0.4537,0.871,1.2908,0.2991,0.6724,0.3018,0.1348,0.4624
2,2000,40,669,481,781,116.061,129.43,247,43.232,0.8589,0.4138,,25,21.45,2,0.3333,14.125,86.789,20.2037,4.2957,0.9504,0.4799,0.8087,1.2348,0.4246,0.7398,0.3442,0.2441,0.6794
3,3000,40,547,403,900,75.612,103.67,243,33.68,0.8431,0.0867,,31,27.05,2,0.0,14.35,84.3093,18.2645,4.616,0.9515,0.4789,0.8068,1.1305,0.3832,0.8025,0.3809,0.1971,0.6134
4,4000,40,466,448,707,133.017,136.03,249,61.475,0.8344,0.3104,,40,37.23,2,0.0,15.475,92.778,29.9052,3.1024,1.3266,0.3697,0.6914,1.4459,0.3741,0.5933,0.2254,0.1657,0.5766
5,5000,40,310,501,791,94.151,105.6,241,42.478,0.8342,0.5663,,46,42.85,2,0.0,18.3,112.686,28.2155,3.9938,1.3511,0.4237,0.8223,1.5691,0.4586,0.7544,0.2091,0.1864,0.6576
6,6000,40,597,507,808,119.712,120.53,249,47.622,0.8223,0.4474,,50,47.9,2,0.0,24.675,157.9669,24.4092,6.4716,1.3163,0.4339,0.691,1.4681,0.5047,0.7684,0.1742,0.1869,0.7701
7,7000,39,511,508,1009,136.188,125.41,249,37.084,0.8227,0.2623,,56,54.08,2,0.0,19.9231,116.117,25.4321,4.5658,1.4763,0.3757,0.4841,1.5961,0.5044,0.8259,0.177,0.1635,0.6697
8,8000,39,597,501,934,186.722,116.36,245,46.578,0.8327,0.4482,,62,60.28,2,0.0,18.5385,107.3086,24.8565,4.3171,1.4857,0.2239,0.2743,1.7388,0.3021,0.8155,0.1222,0.1215,0.6408
