generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,39,305,280,606,107.536,115.41,244,35.387,0.9231,0.119,,22,19.46,1,0.6667,13.3077,43.2067,29.1857,1.4804,0.9805,0.0,nan,1.0721,0.0,nan,0.2816,0.0,nan
2,2000,40,554,389,670,115.809,118.08,249,49.919,0.88,0.198,,28,24.85,1,0.3333,40.05,116.5948,29.9341,3.8951,0.9805,0.0,nan,1.0721,0.0,nan,0.2816,0.0,nan
3,3000,39,544,376,985,139.855,139.97,236,71.49,0.8276,0.0883,,30,29.31,1,0.0,48.7436,130.0022,29.1857,4.4543,0.9805,0.0,nan,1.0721,0.0,nan,0.2816,0.0,nan
4,4000,40,568,549,753,140.647,135.4,246,69.664,0.8188,0.3215,,34,33.85,1,0.0,55.25,156.5752,29.9341,5.2307,0.9805,0.0,nan,1.0721,0.0,nan,0.2816,0.0,nan
5,5000,40,210,436,807,121.118,129.3,244,65.552,0.8021,0.1184,,40,39.12,1,0.0,51.35,123.2814,29.9341,4.1184,0.9805,0.0,nan,1.0721,0.0,nan,0.2816,0.0,nan
6,6000,40,654,501,790,137.096,116.55,240,61.237,0.8293,0.5587,,44,43.9,1,0.0,53.525,127.2474,29.9341,4.2509,0.9805,0.0,nan,1.0721,0.0,nan,0.2816,0.0,nan
7,7000,40,551,531,1034,120.872,125.78,247,50.608,0.816,0.8897,,50,48.7,1,0.0,52.5,117.3413,29.9341,3.92,0.9805,0.0,nan,1.0721,0.0,nan,0.2816,0.0,nan
8,8000,40,533,519,986,124.351,133.18,234,50.816,0.82,0.6429,,54,53.25,1,0.0,60.95,117.9291,29.9341,3.9396,0.9805,0.0,nan,1.0721,0.0,nan,0.2816,0.0,nan
