generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,39,397,406,561,149.106,133.95,248,34.77,0.913,0.6993,,17,14.23,2,0.6667,7.0,35.736,18.1665,1.9671,1.2649,0.085,0.3338,1.9395,0.0624,0.6158,0.8326,0.2957,0.9032
2,2000,40,624,499,897,153.327,116.1,244,50.347,0.8556,0.9725,,22,20.62,1,0.3333,18.075,101.2266,21.0597,4.8067,1.2875,0.1057,0.4482,1.9233,0.0844,0.5941,0.921,0.0688,0.4474
3,3000,40,646,522,1012,180.929,118.95,240,79.359,0.8308,0.3452,,27,26.27,1,0.0,25.675,155.3036,24.9353,6.2283,1.2305,0.1504,0.5646,1.9527,0.0413,0.528,0.8363,0.1363,0.7016
4,4000,40,639,552,994,135.544,110.7,236,72.354,0.8222,0.7942,,32,31.1,1,0.0,33.15,209.3268,26.1808,7.9954,1.1545,0.1711,0.5775,1.9391,0.068,0.584,0.8575,0.1375,0.631
5,5000,40,546,548,1037,196.063,127.53,243,94.817,0.8184,0.8129,,37,36.0,1,0.0,32.75,207.0099,30.6001,6.765,1.2883,0.3228,0.5261,1.8701,0.0905,0.4943,0.8539,0.1751,0.755
6,6000,40,645,554,1011,192.875,122.17,247,94.568,0.8176,0.6906,,41,40.67,1,0.0,39.6,255.7239,33.6077,7.6091,1.3416,0.3206,0.5944,1.8178,0.1429,0.5894,0.8802,0.0945,0.4479
7,7000,40,648,518,1060,236.287,127.25,247,118.289,0.8113,0.0763,,46,45.27,1,0.0,38.325,245.0738,37.3533,6.561,1.4818,0.263,0.5905,1.9012,0.091,0.5695,0.9261,0.069,0.5943
8,8000,40,657,514,1086,239.439,120.4,243,105.036,0.8224,0.0872,,51,49.83,1,0.0,43.95,283.2457,39.0532,7.2528,1.5102,0.2472,0.5388,1.9033,0.0783,0.5355,0.8852,0.0865,0.5043
