generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,39,265,220,560,112.875,106.95,248,47.069,0.9352,0.2236,,15,13.08,1,0.6667,17.0769,90.7308,23.1359,3.9216,0.905,0.0969,0.4647,1.6157,0.1855,0.5589,0.9184,0.0862,0.4988
2,2000,40,276,330,526,106.009,102.67,232,36.598,0.9174,0.9043,,21,19.52,1,0.3333,19.85,109.9684,26.7615,4.1092,1.065,0.1376,0.3484,1.6057,0.2057,0.533,0.9438,0.0569,0.5647
3,3000,40,411,438,715,142.125,103.88,241,59.305,0.8443,0.696,,26,24.43,1,0.0,34.65,200.3786,28.5008,7.0306,1.0688,0.2392,0.5032,1.6409,0.1999,0.4554,0.9101,0.078,0.6056
4,4000,40,487,440,795,123.896,110.12,229,55.807,0.8275,0.9882,,31,29.23,1,0.0,34.6,196.6894,26.4142,7.4464,1.0602,0.3409,0.6443,1.7027,0.2101,0.5459,0.9173,0.0773,0.5679
5,5000,40,483,459,793,164.385,106.6,248,74.506,0.8205,0.4305,,36,34.05,1,0.0,37.275,209.985,29.4976,7.1187,1.1136,0.4252,0.6721,1.7752,0.1609,0.546,0.9208,0.1031,0.7294
6,6000,40,353,435,642,115.251,113.9,228,57.002,0.833,0.2826,,40,38.4,1,0.0,38.475,213.2632,29.652,7.1922,1.0498,0.3521,0.6609,1.7146,0.2455,0.5485,0.9057,0.1144,0.6626
7,7000,40,307,434,514,130.86,127.15,249,77.009,0.8306,0.3426,,44,42.67,1,0.0,38.4,213.7816,31.2531,6.8403,1.133,0.2543,0.6225,1.6001,0.223,0.5408,0.8517,0.139,0.6118
8,8000,40,284,414,599,120.776,104.03,249,51.635,0.8206,0.3697,,48,47.15,1,0.0,47.25,265.2996,32.2395,8.229,1.1622,0.1918,0.2587,1.6977,0.2114,0.5318,0.8019,0.2262,0.7542
