generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,393,236,647,81.39,122.5,230,19.01,0.9274,0.0513,,28,23.15,3,0.6667,2.675,10.2895,13.6794,0.7522,0.9471,0.4279,0.7648,0.9384,0.1679,0.7018,0.4987,0.1135,0.3833
2,2000,39,570,474,904,71.163,110.13,237,23.299,0.8721,0.1951,,35,28.92,1,0.3333,7.7692,35.3902,12.1739,2.9071,0.7913,0.1293,0.4533,0.8732,0.0728,0.4553,0.4786,0.1056,0.4102
3,3000,39,617,547,1009,86.797,93.38,236,23.268,0.8343,0.3564,,35,33.59,1,0.0,13.8974,65.4827,11.3395,5.7747,0.8519,0.1355,0.4285,0.7899,0.0813,0.366,0.3158,0.1614,0.6232
4,4000,39,609,537,844,97.294,103.36,246,32.685,0.8355,0.6421,,40,38.56,1,0.0,20.0513,108.9475,11.7003,9.3115,0.7878,0.1243,0.3746,0.7318,0.1015,0.5818,0.3103,0.1291,0.3699
5,5000,39,416,267,1028,67.478,110.0,249,20.673,0.8425,0.0573,,46,43.64,1,0.0,16.8974,87.8966,12.1433,7.2383,0.7926,0.1165,0.4758,0.7644,0.1289,0.4898,0.2924,0.1019,0.4191
6,6000,22,313,273,601,52.304,102.59,167,19.14,0.9092,0.1643,,62,59.14,1,0.0,10.6818,27.9532,6.1267,4.5625,0.8468,0.1046,0.538,0.6504,0.0455,0.5182,0.3586,0.0632,0.4888
7,7000,40,526,381,839,115.65,124.33,242,39.158,0.8759,0.1781,,70,67.97,1,0.0,13.9,62.7408,11.232,5.5859,0.7509,0.146,0.591,0.6462,0.0548,0.6505,0.3982,0.1049,0.4381
8,8000,40,589,453,798,112.378,115.28,241,47.958,0.8744,0.4345,,77,74.7,1,0.0,18.1,80.175,11.5479,6.9428,0.7304,0.1124,0.5219,0.707,0.0761,0.5026,0.3666,0.1192,0.4348
