generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,436,343,683,58.321,129.68,235,17.461,0.9128,0.1399,,18,10.93,1,0.6667,3.975,18.2074,9.4405,1.9287,0.6449,0.0,nan,1.3611,0.0,nan,0.6673,0.0,nan
2,2000,40,243,154,412,72.917,123.72,246,28.186,0.9111,0.0747,,18,16.45,1,0.3333,10.85,52.5022,9.4405,5.5614,0.6449,0.0,nan,1.3611,0.0,nan,0.6673,0.0,nan
3,3000,40,301,311,628,95.248,132.65,240,64.338,0.8588,0.2045,,26,22.85,1,0.0,16.125,82.7544,9.4405,8.7659,0.6449,0.0,nan,1.3611,0.0,nan,0.6673,0.0,nan
4,4000,40,196,374,453,74.898,111.5,248,55.976,0.8373,0.8919,,30,27.68,1,0.0,26.2,145.4207,9.4405,15.404,0.6449,0.0,nan,1.3611,0.0,nan,0.6673,0.0,nan
5,5000,40,197,297,298,71.981,107.55,244,37.517,0.8209,0.2563,,35,31.82,1,0.0,26.875,146.7384,9.4405,15.5436,0.6449,0.0,nan,1.3611,0.0,nan,0.6673,0.0,nan
6,6000,40,224,367,573,82.683,110.95,238,61.305,0.8279,0.638,,37,36.17,1,0.0,32.35,190.1454,9.4405,20.1415,0.6449,0.0,nan,1.3611,0.0,nan,0.6673,0.0,nan
7,7000,40,223,183,485,86.951,111.15,238,48.573,0.8436,0.1718,,42,41.05,1,0.0,29.05,171.4251,9.4405,18.1586,0.6449,0.0,nan,1.3611,0.0,nan,0.6673,0.0,nan
8,8000,40,243,209,557,69.608,87.9,235,40.329,0.8661,0.1168,,47,45.98,1,0.0,27.175,158.6441,9.4405,16.8047,0.6449,0.0,nan,1.3611,0.0,nan,0.6673,0.0,nan
