generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,439,379,570,137.14,135.15,247,69.547,0.9209,0.3193,,14,11.28,2,0.6667,15.575,67.2669,14.1172,4.7649,0.9461,0.2906,0.6599,1.1419,0.1701,0.4217,0.6044,0.0986,0.3361
2,2000,40,196,324,271,163.832,131.95,240,52.568,0.9212,0.314,,18,15.0,2,0.3333,31.35,148.2402,15.3672,9.6465,1.2845,0.1628,0.6565,1.2215,0.1351,0.5267,0.51,0.112,0.3807
3,3000,40,144,88,547,119.433,132.43,248,35.577,0.9106,0.2035,,20,19.23,1,0.0,42.8,227.3858,15.0508,15.1079,1.3517,0.1209,0.3338,1.1698,0.1665,0.3895,0.4871,0.1477,0.4574
4,4000,39,230,136,417,159.724,134.46,243,53.558,0.9216,0.0656,,25,24.18,1,0.0,40.3077,155.9593,15.5577,10.0246,1.2982,0.1635,0.5013,1.3228,0.1041,0.5106,0.4289,0.109,0.3757
5,5000,40,318,326,600,188.281,129.47,239,77.272,0.8903,0.3634,,30,28.73,1,0.0,46.425,160.7205,14.9063,10.782,1.1862,0.2735,0.5516,1.3754,0.1966,0.3667,0.3931,0.123,0.3107
6,6000,40,343,411,676,163.964,128.68,235,81.515,0.866,0.7039,,34,33.2,1,0.0,57.675,232.8158,14.7088,15.8283,1.1346,0.3377,0.5832,1.444,0.2369,0.4879,0.4631,0.1269,0.2358
7,7000,40,353,463,750,181.593,135.3,249,100.508,0.8358,0.7971,,38,37.27,1,0.0,55.675,271.6484,15.065,18.0317,1.0812,0.3279,0.6615,1.5477,0.2762,0.4024,0.4672,0.0995,0.4075
8,8000,40,478,478,951,152.642,126.5,245,80.697,0.828,0.6895,,42,41.75,1,0.0,61.925,313.2168,13.6058,23.0209,0.9808,0.2736,0.6538,1.6125,0.2707,0.5085,0.4752,0.1516,0.3906
