generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,34,173,95,413,53.545,101.94,228,11.088,0.9515,0.2166,,42,36.18,3,0.6667,0.8824,2.4005,11.9098,0.2016,1.1713,0.2385,0.62,1.0631,0.4848,0.6797,0.5861,0.2211,0.4826
2,2000,40,196,227,363,114.479,120.83,247,37.049,0.9292,0.4585,,48,45.7,1,0.3333,8.725,34.3973,11.4673,2.9996,1.1398,0.132,0.4304,0.6912,0.0924,0.6677,0.5185,0.1023,0.4318
3,3000,40,351,309,580,100.274,134.75,248,40.913,0.8657,0.3896,,54,52.77,1,0.0,13.9,64.6489,12.425,5.2031,1.0589,0.0772,0.4239,0.666,0.0611,0.5417,0.678,0.0948,0.4848
4,4000,40,283,370,646,133.533,125.5,245,80.598,0.8402,0.6246,,60,58.4,1,0.0,18.45,101.3047,14.2478,7.1102,1.0617,0.1461,0.725,0.6928,0.0687,0.4939,0.6668,0.0815,0.4587
5,5000,40,329,362,601,144.262,130.25,245,70.075,0.8221,0.2186,,64,62.9,1,0.0,38.65,193.0227,15.2268,12.6765,1.1249,0.2066,0.6629,0.7127,0.0859,0.4586,0.5906,0.1232,0.4504
6,6000,39,391,318,508,112.844,113.49,246,64.741,0.8482,0.3925,,69,67.82,1,0.0,32.5385,145.852,14.2137,10.2614,1.2082,0.078,0.4606,0.6929,0.0795,0.5417,0.6236,0.0915,0.4356
7,7000,40,95,73,259,84.988,132.72,246,53.078,0.8732,0.0835,,75,73.28,1,0.0,32.15,166.5068,15.8271,10.5203,1.3176,0.0909,0.5584,0.6693,0.0514,0.4701,0.6382,0.0822,0.448
8,8000,40,194,166,261,115.943,115.17,247,45.68,0.921,0.7498,,80,78.55,1,0.0,19.85,95.9886,12.1498,7.9004,1.3008,0.1378,0.5234,0.761,0.097,0.3819,0.5604,0.094,0.4001
