generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,367,386,515,137.387,113.38,232,20.579,0.9156,0.9696,,19,16.88,2,0.6667,5.0,30.2449,12.6786,2.3855,1.1551,0.2645,0.6547,1.3175,0.216,0.6359,0.8832,0.0779,0.4157
2,2000,40,664,497,801,138.979,112.42,228,30.423,0.8633,0.5032,,24,22.88,2,0.3333,14.8,96.7767,13.9516,6.9366,1.2162,0.2971,0.5594,1.1824,0.1622,0.384,0.7702,0.1006,0.3536
3,3000,40,636,508,957,88.459,115.95,248,39.17,0.8417,0.4586,,29,27.43,2,0.0,17.375,113.8888,13.6264,8.358,1.0716,0.2595,0.5803,1.1771,0.2329,0.5697,0.7974,0.1577,0.6027
4,4000,40,592,515,963,102.14,102.58,249,36.482,0.8344,0.4977,,34,32.85,2,0.0,22.425,157.1115,14.3062,10.982,1.1227,0.2075,0.4965,1.1641,0.249,0.543,0.8402,0.1607,0.6028
5,5000,40,294,502,481,70.947,120.17,242,47.55,0.8518,0.3181,,40,38.48,2,0.0,20.85,142.1336,11.6559,12.1941,0.8583,0.3129,0.7667,1.4634,0.152,0.3764,0.5004,0.2019,0.5664
6,6000,40,665,579,774,110.013,119.62,248,87.944,0.8218,0.8942,,45,43.3,2,0.0,26.85,187.1036,13.0999,14.2829,0.9567,0.3745,0.6381,1.4678,0.2089,0.6578,0.4853,0.208,0.4936
7,7000,39,607,573,957,128.693,126.18,249,95.858,0.8114,0.5517,,50,48.62,2,0.0,35.5385,226.0731,10.9817,20.5864,0.9006,0.1724,0.2944,1.5356,0.169,0.4549,0.4357,0.2488,0.6165
8,8000,40,583,508,916,124.937,144.38,249,84.554,0.8364,0.4046,,54,53.42,1,0.0,34.825,227.0058,11.7605,19.3023,0.8927,0.1281,0.4666,1.5224,0.2062,0.6223,0.5377,0.2364,0.4013
