generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,39,367,369,532,84.089,130.49,247,24.293,0.9168,0.3309,,38,32.08,2,0.6667,2.5128,9.497,15.44,0.6151,0.9678,0.2516,0.8325,1.0582,0.214,0.8325,0.5261,0.0753,0.8325
2,2000,40,630,453,800,76.022,102.03,219,18.725,0.8715,0.4202,,46,41.98,2,0.3333,7.25,32.8362,15.2942,2.147,0.949,0.2504,0.8404,1.0422,0.213,0.8404,0.5205,0.0749,0.8404
3,3000,40,338,529,735,61.003,106.15,248,24.721,0.8531,0.4462,,55,51.45,2,0.0,9.4,42.4387,12.3803,3.4279,0.8484,0.218,0.9076,0.9566,0.1854,0.9076,0.4903,0.0652,0.9076
4,4000,40,686,519,872,132.449,113.85,234,38.712,0.8342,0.893,,60,54.08,2,0.0,14.875,67.6008,22.2146,3.0431,1.1882,0.1326,0.96,1.2456,0.1128,0.96,0.592,0.0397,0.96
5,5000,39,576,518,939,103.801,120.1,238,39.184,0.8241,0.447,,65,61.33,2,0.0,18.4872,75.5193,17.2611,4.3751,1.0323,0.2449,0.8537,1.1131,0.2083,0.8537,0.5454,0.0733,0.8537
6,6000,40,680,537,942,132.401,112.78,246,50.54,0.8306,0.8017,,69,65.17,2,0.0,28.55,121.9656,21.4862,5.6765,1.163,0.1665,0.9477,1.2242,0.1416,0.9477,0.5845,0.0498,0.9477
7,7000,39,575,532,1006,127.617,103.92,242,49.466,0.8208,0.3022,,76,71.49,2,0.0,25.5897,107.2299,22.3604,4.7955,1.213,0.0796,0.9695,1.2668,0.0677,0.9695,0.5994,0.0238,0.9695
8,8000,40,699,509,855,157.922,124.97,249,73.832,0.8342,0.495,,81,76.3,2,0.0,28.875,139.7973,22.9431,6.0932,1.2133,0.0786,0.9704,1.267,0.0669,0.9704,0.5995,0.0235,0.9704
