generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,370,203,620,146.023,120.55,249,35.345,0.9297,0.0712,,30,27.02,2,0.6667,3.65,20.4151,18.0652,1.1301,1.2407,0.2807,0.8165,1.4703,0.1825,0.7202,0.1109,0.0935,0.5153
2,2000,40,409,286,629,195.22,132.25,245,44.637,0.9057,0.0603,,34,32.58,2,0.3333,17.625,92.7899,18.9651,4.8927,1.3745,0.1946,0.401,1.3897,0.1728,0.3437,0.1092,0.0859,0.5276
3,3000,40,336,290,586,184.407,130.53,241,48.538,0.9069,0.0594,,39,38.38,1,0.0,16.65,81.0599,17.7055,4.5782,1.3388,0.1327,0.4182,1.4277,0.1823,0.5987,0.0772,0.0834,0.6573
4,4000,39,402,386,783,199.956,122.69,237,80.227,0.8811,0.4112,,44,43.36,1,0.0,28.2051,151.4601,17.2863,8.7619,1.3589,0.1323,0.468,1.5648,0.1521,0.3655,0.1218,0.0842,0.3955
5,5000,40,507,428,547,205.304,127.0,248,66.866,0.8631,0.3298,,48,47.62,1,0.0,28.125,153.761,18.0786,8.5051,1.4029,0.1222,0.4135,1.6323,0.1284,0.413,0.1219,0.1039,0.5571
6,6000,40,388,512,744,175.891,111.15,242,61.304,0.8358,0.7059,,53,52.12,1,0.0,35.625,199.513,19.0696,10.4624,1.365,0.1657,0.5128,1.6782,0.1813,0.3645,0.1338,0.1176,0.5663
7,7000,40,567,540,840,169.698,117.05,247,59.616,0.8166,0.2757,,57,56.42,1,0.0,30.05,161.4647,19.4085,8.3193,1.3102,0.1913,0.5855,1.5031,0.2364,0.4727,0.1869,0.1037,0.3751
8,8000,40,446,504,1056,177.944,118.62,249,75.44,0.8238,0.5453,,61,60.62,1,0.0,34.875,200.75,17.4279,11.5189,1.2532,0.1312,0.3923,1.4757,0.2528,0.5733,0.1614,0.1285,0.5114
