generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,39,363,386,590,74.705,122.08,241,44.611,0.9154,0.328,,17,14.92,1,0.6667,8.0769,41.6705,6.9772,5.9724,0.5725,0.0,nan,1.2767,0.0,nan,0.3162,0.0,nan
2,2000,40,622,452,777,66.967,121.5,246,43.423,0.8723,0.8976,,23,20.5,1,0.3333,16.175,87.8356,7.1561,12.2742,0.5725,0.0,nan,1.2767,0.0,nan,0.3162,0.0,nan
3,3000,39,560,511,943,66.379,112.69,242,38.361,0.8392,0.9828,,26,24.56,1,0.0,18.2308,97.0041,6.9772,13.903,0.5725,0.0,nan,1.2767,0.0,nan,0.3162,0.0,nan
4,4000,40,524,523,967,67.648,98.7,248,40.46,0.8352,0.9556,,32,29.55,1,0.0,18.1,102.135,7.1561,14.2724,0.5725,0.0,nan,1.2767,0.0,nan,0.3162,0.0,nan
5,5000,40,582,536,975,77.843,131.0,244,59.239,0.8193,0.2828,,36,33.83,1,0.0,21.775,120.7383,7.1561,16.872,0.5725,0.0,nan,1.2767,0.0,nan,0.3162,0.0,nan
6,6000,40,680,552,965,71.699,101.05,228,46.916,0.8164,0.7161,,41,39.0,1,0.0,22.25,131.4105,7.1561,18.3634,0.5725,0.0,nan,1.2767,0.0,nan,0.3162,0.0,nan
7,7000,39,565,561,1002,73.368,122.08,227,60.415,0.8079,0.9398,,45,43.74,1,0.0,22.4103,130.498,6.9772,18.7034,0.5725,0.0,nan,1.2767,0.0,nan,0.3162,0.0,nan
8,8000,40,507,545,910,67.465,110.0,246,51.926,0.8216,0.4398,,50,48.7,1,0.0,26.825,168.2667,7.1561,23.5137,0.5725,0.0,nan,1.2767,0.0,nan,0.3162,0.0,nan
