generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error,max_generation,mean_generation,lineages,birth_subsidy,eats_per_agent_per_1k,energy_income_per_tick,energy_burn_per_tick,energy_ratio,body_size_mean,body_size_sd,body_size_bc,visual_acuity_mean,visual_acuity_sd,visual_acuity_bc,diet_mean,diet_sd,diet_bc
1,1000,40,475,373,579,137.176,130.9,248,36.858,0.9194,0.7923,,14,10.9,2,0.6667,8.1,34.0416,13.1791,2.583,0.8759,0.0436,0.8885,1.3592,0.2702,0.8885,0.5117,0.2672,0.8885
2,2000,40,722,495,864,145.405,129.62,247,43.175,0.8681,0.4008,,19,17.45,1,0.3333,16.35,70.5324,14.4091,4.895,0.9045,0.0,nan,1.5361,0.0,nan,0.3368,0.0,nan
3,3000,40,556,331,953,142.741,125.62,243,48.12,0.8594,0.1199,,24,21.55,1,0.0,19.45,84.2352,14.4091,5.846,0.9045,0.0,nan,1.5361,0.0,nan,0.3368,0.0,nan
4,4000,40,462,609,820,155.275,107.92,236,57.45,0.833,0.1858,,26,25.48,1,0.0,23.45,109.9141,14.4091,7.6281,0.9045,0.0,nan,1.5361,0.0,nan,0.3368,0.0,nan
5,5000,40,406,567,811,124.536,106.8,232,47.299,0.8282,0.3175,,31,29.62,1,0.0,26.225,129.3591,14.4091,8.9776,0.9045,0.0,nan,1.5361,0.0,nan,0.3368,0.0,nan
6,6000,40,745,610,1064,155.683,117.72,237,70.776,0.8256,0.2647,,35,34.42,1,0.0,31.1,159.2524,14.4091,11.0522,0.9045,0.0,nan,1.5361,0.0,nan,0.3368,0.0,nan
7,7000,40,590,440,1200,159.046,142.75,249,89.194,0.8341,0.0461,,40,39.0,1,0.0,30.9,162.5397,14.4091,11.2803,0.9045,0.0,nan,1.5361,0.0,nan,0.3368,0.0,nan
8,8000,40,668,463,1067,155.06,135.0,245,129.717,0.8344,0.0594,,45,43.3,1,0.0,34.7,195.6202,14.4091,13.5761,0.9045,0.0,nan,1.5361,0.0,nan,0.3368,0.0,nan
