generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture
1,1000,30,198,213,399,90.828,267.83,505,23.18,0.95,0.191
2,2000,30,517,368,539,91.966,339.97,864,33.495,0.8945,0.2396
3,3000,30,456,405,722,109.037,372.27,718,40.804,0.8678,0.2356
