seed,variant,peak_fitness,lifespan,tiles,eat,seeds,final_fitness,ticks_s
1,gated,64.43,720.1,98.9,2045.0,1358.0,37.268,6.81
2,gated,81.49,773.9,98.2,2420.0,1966.0,60.92,7.22
3,gated,65.65,715.4,65.8,1888.0,1718.0,48.909,6.92
4,gated,63.66,708.1,44.4,1211.0,909.0,52.324,8.08
