generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,353,283,292,116.132,404.27,695,43.274,0.9342,0.3927,5.95996
2,2000,30,562,407,574,158.812,454.17,938,52.464,0.8904,0.3678,4.78088
3,3000,30,428,287,741,157.902,453.17,937,53.982,0.8676,0.0776,3.76831
4,4000,30,194,123,265,116.816,452.4,936,41.794,0.9285,0.0858,3.32901
5,5000,30,124,87,196,123.665,483.2,994,48.103,0.9512,0.0726,3.80515
6,6000,30,112,102,141,120.975,505.6,993,52.03,0.9483,0.2203,2.4965
7,7000,30,143,95,186,129.811,519.3,992,60.92,0.9338,0.1357,1.89684
