generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,159,81,323,101.031,343.43,620,32.967,0.9598,0.1913,6.31624
2,2000,30,86,49,108,103.777,378.93,760,33.03,0.9733,0.2155,5.99974
3,3000,30,88,94,116,107.781,400.6,946,33.864,0.9499,0.3588,5.84501
4,4000,30,162,109,130,100.622,474.5,896,40.084,0.9131,0.677,5.32481
5,5000,29,158,124,171,112.317,549.31,951,49.687,0.8753,0.975,4.62978
6,6000,30,171,144,197,135.309,575.77,999,57.431,0.8593,0.932,4.55899
7,7000,30,130,106,227,128.227,547.87,998,52.324,0.8572,0.1112,3.93106
