tick,pop,mean_fitness
0,8,0.0
20,8,1.662
40,8,3.099
60,24,2.121
80,24,3.696
100,32,4.053
120,55,3.811
140,48,4.437
160,60,4.767
180,60,5.203
200,60,4.7
220,60,5.956
240,60,7.348
260,60,9.093
280,60,9.827
300,60,9.363
320,60,8.936
340,60,10.135
360,60,10.556
380,60,10.444
400,60,7.837
420,60,6.85
440,60,8.433
460,60,8.985
480,60,9.707
500,60,9.3
520,60,10.049
540,60,9.911
560,60,10.664
580,59,11.649
600,60,10.349
