generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,270,270,395,98.767,323.93,754,23.352,0.9469,0.6545,6.5034
2,2000,30,511,411,607,113.649,519.53,969,41.558,0.8897,0.8215,6.02872
3,3000,29,581,475,847,122.513,563.62,981,62.29,0.8484,0.5985,5.17262
4,4000,30,634,483,851,151.201,580.9,999,64.351,0.8413,0.8859,4.87953
5,5000,30,572,496,873,138.592,579.9,998,63.66,0.8283,0.8601,3.49141
6,6000,30,644,505,813,163.49,580.17,997,71.964,0.8329,0.7299,3.49094
