generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,328,196,417,113.426,264.93,607,21.997,0.9378,0.0731,6.69478
2,2000,30,420,368,537,112.445,589.23,965,59.875,0.891,0.4292,5.89553
3,3000,30,396,446,698,123.891,601.2,979,63.597,0.8481,0.4241,5.3514
4,4000,30,663,460,723,155.263,600.2,978,66.697,0.8393,0.9565,4.25255
5,5000,30,635,473,827,153.576,599.2,977,65.387,0.8306,0.9996,3.27945
6,6000,30,580,485,826,166.879,601.3,976,69.521,0.8395,0.9999,2.54299
