generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,267,301,377,106.058,390.77,789,41.628,0.9368,0.5868,6.01753
2,2000,30,640,420,680,162.515,495.2,959,65.324,0.8834,0.3858,5.94055
3,3000,30,643,457,890,158.686,500.03,958,67.297,0.8459,0.1448,5.20438
4,4000,30,163,243,243,122.46,499.03,957,50.219,0.9064,0.3475,4.17883
5,5000,30,286,392,524,138.366,516.47,956,57.32,0.8851,0.9225,4.20257
6,6000,30,601,464,744,162.27,517.03,955,63.435,0.856,0.8299,3.42429
