tick,pop,mean_fitness
0,48,0.0
20,48,1.588
40,48,3.217
60,60,3.999
80,60,5.507
100,60,6.986
120,60,8.487
140,60,10.005
160,60,11.47
180,60,12.44
200,60,11.58
220,60,12.67
240,60,13.025
260,57,11.488
280,46,8.379
300,56,6.208
320,60,7.657
340,60,9.168
360,60,9.046
380,59,7.832
400,60,8.833
420,59,10.545
440,60,11.415
460,59,12.532
480,60,12.124
500,60,13.668
520,60,13.839
540,60,14.279
560,60,12.448
580,59,12.515
600,60,11.334
