generation,tick,alive_agents,total_food,total_plants,total_seeds,mean_energy,mean_age,max_age,mean_fitness,avg_fertility,avg_moisture,wm_rollout_error
1,1000,30,358,292,443,110.922,421.77,747,36.512,0.9365,0.1778,6.24109
2,2000,30,551,365,602,129.281,479.93,924,41.742,0.9194,0.7431,6.1206
3,3000,30,816,425,662,131.701,485.17,923,47.798,0.8714,0.0604,5.84805
4,4000,30,677,431,884,155.822,485.5,922,50.085,0.8527,0.0614,5.03874
5,5000,30,692,499,750,151.221,485.6,945,49.955,0.8415,0.264,3.80834
6,6000,30,598,534,706,168.852,485.37,944,56.289,0.8343,0.5397,2.21599
